stakeholder goal,unique phrases,interviewer goal,from stakeholder,unmatched phrase,total turns,multi-turn goal,type errors,from interviewer,total phrases
1,1,0,1,1,78,,,0,2
0,2,2,0,,78,,,2,2
,,,,,78,,,,
3,4,0,6,,78,,,0,5
2,5,0,4,1,78,1,,1,6
1,5,0,2,2,78,1,,3,7
,,,,,78,,,,
3,6,1,4,,78,1,,2,6
3,5,0,5,,78,,,0,5
0,3,2,0,,78,,,3,3
0,2,2,0,1,78,,,2,3
3,3,0,3,,78,,,0,3
0,4,3,1,,78,1,,3,4
1,5,2,3,,78,,,2,5
3,6,0,8,,78,,,0,7
3,5,0,5,,78,,,0,5
,,,,,78,,,,
,,,,,78,,,,
,,,,,78,,,,
,,,,,65,,,,
,,,,,65,,,,
,,,,,65,,,,
,,,,,65,,,,
,,,,,65,,,,
4,9,0,9,,65,,,0,9
2,6,0,6,1,65,,,0,7
3,4,0,4,,65,,,0,4
3,8,0,8,1,65,,,0,9
3,8,0,8,3,65,,,0,11
7,10,0,10,,65,,,0,10
3,7,0,7,1,65,,,0,8
6,7,0,7,1,65,,,0,8
9,9,0,9,,65,,,0,9
6,7,0,7,,65,,,0,7
8,17,0,17,1,65,,,0,18
7,9,0,9,1,65,,,0,10
4,7,0,7,1,65,,,0,8
3,4,0,3,,65,1,,1,4
3,4,0,4,,65,,,0,4
,,,,,65,,,,
2,4,0,4,,65,,,0,4
3,8,0,8,,65,,,0,8
3,3,0,3,,65,,,0,3
,,,,,65,,,,
3,7,0,7,,65,,,0,7
,,,,,65,,2,,
,,,,,65,,2,,
2,5,0,5,,65,,,0,5
4,4,0,4,,65,,,0,4
,,,,,65,,2,,
,,,,,65,,,,
,,,,,65,,,,
,,,,,48,,,,
,,,,,48,,2,,
4,7,0,7,,48,,,0,7
1,5,1,4,1,48,1,,1,6
8,17,0,17,,48,,,0,17
7,12,0,12,,48,,,0,12
4,8,0,8,,48,,,0,8
,,,,,48,,,,
,,,,,48,,2,,
3,7,0,7,1,48,,,0,8
3,5,0,5,1,48,,,0,6
,,,,,48,,,,
,,,,,48,,2,,
2,3,0,3,,48,,,0,3
3,6,0,5,,48,1,,1,6
2,5,0,5,,48,,,0,5
,,,,,48,,,,
2,4,0,4,,48,,,0,4
4,7,0,5,,48,1,,2,7
2,9,0,6,1,48,2,,3,10
2,5,1,3,,48,2,,2,5
4,4,0,4,,48,,,0,4
4,4,0,4,,48,,,0,4
,,,,,48,,,,
3,3,0,3,,98,,,0,3
2,4,0,4,,98,,,0,4
3,3,0,3,,98,,,0,3
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,2,,
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,,,
2,9,0,9,,98,,,0,9
,,,,,98,,,,
,,,,,98,,,,
2,4,0,4,1,98,,,0,5
2,4,0,4,,98,,,0,4
,,,,,98,,,,
,,,,,98,,2,,
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,2,,
,,,,,98,,,,
,,,,,98,,2,,
3,3,0,3,,98,,,0,3
2,3,0,3,,98,,,0,3
,,,,,98,,2,,
,,,,,98,,2,,
2,3,0,3,,98,,,0,3
,,,,,98,,2,,
,,,,,98,,2,,
2,3,0,3,,98,,,0,3
,,,,,98,,2,,
,,,,,98,,2,,
3,4,0,4,1,98,,,0,5
2,4,0,4,,98,,,0,4
2,6,0,6,,98,,,0,6
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,2,,
2,4,0,4,,98,,,0,4
,,,,,98,,2,,
,,,,,98,,2,,
,,,,,98,,,,
,,,,,98,,,,
2,2,0,2,,77,,,0,2
2,3,0,3,,77,,,0,3
5,5,0,5,,77,,,0,5
5,10,1,9,,77,1,,1,10
5,9,0,9,,77,,,0,9
4,9,0,9,,77,,,0,9
3,5,0,5,,77,,,0,5
2,2,0,2,2,77,,,0,4
5,7,0,7,,77,,,0,7
3,9,0,9,1,77,,,0,10
5,10,0,10,,77,,,0,10
4,7,0,7,,77,,,0,7
3,7,0,7,,77,,,0,7
4,5,0,5,,77,,,0,5
6,6,0,6,,77,,,0,6
4,8,0,8,2,77,,,0,10
4,10,0,10,,77,,,0,10
4,6,0,6,,77,,,0,6
2,6,0,6,,77,,,0,6
,,,,,77,,2,,
2,3,0,3,1,77,,,0,4
3,3,0,3,,77,,,0,3
2,2,0,2,,77,,,0,2
7,7,0,7,,77,,,0,7
7,9,0,9,,77,,,0,9
2,5,0,5,,77,,,0,5
1,4,0,4,1,77,,,0,5
6,8,0,8,,77,,,0,8
4,9,0,9,,77,,,0,9
2,4,0,4,,77,,,0,4
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,2,,
,,,,,77,,2,,
4,9,0,9,1,77,,,0,10
4,14,0,13,,77,1,,1,14
4,6,0,6,,77,,,0,6
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,,,
4,6,0,6,,77,,,0,6
3,7,0,7,,77,,,0,7
3,8,1,6,,77,2,,2,8
3,8,1,6,,77,2,,2,8
3,5,0,5,2,77,,,0,7
,,,,,77,,2,,
2,6,0,6,1,77,,,0,7
5,11,0,11,1,77,,,0,12
6,10,0,10,,77,,,0,10
5,7,0,9,,77,,,0,8
2,3,0,3,,77,,,0,3
2,2,0,2,2,77,,,0,4
5,10,0,9,,77,1,,1,10
3,9,0,8,1,77,1,,1,10
3,6,0,6,,77,,,0,6
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,2,,
,,,,,77,,2,,
3,7,0,7,,77,,,0,7
7,15,0,15,,77,,,0,15
3,7,0,7,,77,,,0,7
3,6,0,6,1,77,,,0,7
3,7,0,7,,77,,,0,7
,,,,,77,,,,
,,,,,77,,,,
0,2,2,0,,77,,,2,2
0,2,2,0,,77,,,2,2
,,,,,77,,,,
,,,,,77,,2,,
,,,,,77,,,,
,,,,,33,,,,
,,,,,33,,,,
4,6,0,6,,33,,,0,6
6,11,0,11,,33,,,0,11
5,8,0,8,,33,,,0,8
,,,,,33,,2,,
2,2,0,2,,33,,,0,2
9,10,0,10,,33,,,0,10
5,7,0,7,,33,,,0,7
3,9,0,9,,33,,,0,9
2,5,0,5,,33,,,0,5
2,2,0,2,,33,,,0,2
2,5,0,5,,33,,,0,5
4,6,0,6,,33,,,0,6
3,10,0,10,,33,,,0,10
,,,,,33,,2,,
,,,,,33,,,,
4,9,0,9,1,46,,,0,10
3,8,0,8,,46,,,0,8
6,8,0,8,,46,,,0,8
4,9,0,9,,46,,,0,9
3,8,0,8,,46,,,0,8
3,6,0,6,,46,,,0,6
5,8,0,8,,46,,,0,8
5,13,0,13,,46,,,0,13
5,5,0,5,3,46,,,0,8
2,5,0,4,3,46,1,,1,8
3,8,0,8,,46,,,0,8
9,18,0,18,,46,,,0,18
5,10,0,10,,46,,,0,10
